#File origin :                                  Exported with ChiraKit
#Time stamp :                                   2024-05-21 15:50:46 CEST
#CD units :                                     Millidegrees (m°)
#Sample concentration (mg/ml) :                 0
#Path length (cm) :                             0
#Molecular weight (Da) :                        0
#Number of residues (for protein samples) :     0
#Wavelength units :                             nanometers (nm)
wavelength,Batch 1 test spectra,Batch 2 test spectra,Batch 3 test spectra,Batch 4 test spectra,Batch 5 test spectra,Batch 6 test spectra,Batch 7 test spectra,Batch 8 test spectra,Batch 9 test spectra,Batch 10 test spectra,Batch 11 test spectra,Batch 12 test spectra,Batch 13 test spectra,Batch 14 test spectra,Batch 15 test spectra,Batch 16 test spectra,Batch 17 test spectra,Batch 18 test spectra,Batch 19 test spectra,Batch 20 test spectra,Batch 21 test spectra,Batch 22 test spectra,Batch 23 test spectra,Batch 24 test spectra,Batch 25 test spectra,Batch 26 test spectra,Batch 27 test spectra,Batch 28 test spectra,Batch 29 test spectra,Batch 30 test spectra,Batch 31 test spectra,Batch 32 test spectra,Batch 33 test spectra,Batch 34 test spectra,Batch 35 test spectra,Batch 36 test spectra
230,-17.368,-18.412,-15.496,-15.052,-14.319,-13.938,-14.845,-14.693,-10.378,-7.7884,-7.7461,-7.2442,-7.0784,-6.6708,-13.632,-14.614,-14.757,-14.743,-14.403,-12.593,-14.089,-12.461,-14.469,-16.178,-15.504,-14.659,-14.354,-14.218,-15.197,-15.657,-9.9311,-8.3343,-7.5445,-7.2442,-6.6272,-6.6317
229,-17.948,-18.9,-16.024,-15.45,-14.893,-15.037,-16.185,-16.017,-11.068,-8.053,-7.9983,-7.3457,-7.2364,-6.8303,-14.077,-14.943,-15.307,-15.343,-14.798,-13.617,-15.517,-13.451,-15.024,-16.754,-16.255,-14.998,-14.909,-15.486,-16.676,-17.119,-10.503,-8.4823,-7.8066,-7.3457,-6.7994,-6.7276
228,-18.592,-19.423,-16.566,-15.882,-15.273,-16.35,-17.613,-17.306,-11.798,-8.2911,-8.2544,-7.6532,-7.4217,-6.9324,-14.617,-15.407,-15.685,-15.717,-15.252,-14.5,-16.76,-14.773,-15.461,-17.098,-16.549,-15.577,-15.187,-16.79,-18.173,-18.558,-11.243,-8.9548,-8.0351,-7.6532,-6.9045,-6.8606
227,-19.186,-20.221,-17.172,-16.519,-15.749,-17.646,-19.235,-18.702,-12.587,-8.5991,-8.5053,-7.7651,-7.4484,-7.0674,-15.121,-15.881,-16.2,-16.297,-15.783,-15.584,-18.061,-15.618,-16.004,-17.62,-17.076,-16.055,-15.7,-18.064,-19.603,-20.103,-11.962,-9.1541,-8.2619,-7.7651,-7.2024,-7.196
226,-19.867,-20.738,-17.764,-17.105,-16.483,-18.792,-20.532,-20.13,-13.046,-9.0508,-8.6632,-8.0283,-7.7375,-7.0729,-15.625,-16.512,-16.878,-16.79,-16.252,-16.476,-19.494,-16.865,-16.464,-18.305,-17.802,-16.796,-16.228,-19.263,-21.138,-21.546,-12.482,-9.352,-8.5099,-8.0283,-7.2551,-7.1593
225,-20.786,-21.825,-18.332,-17.764,-16.96,-19.946,-22.149,-21.528,-13.943,-9.1226,-9.0145,-8.0761,-7.7576,-7.3908,-16.31,-17.082,-17.615,-17.595,-16.945,-17.373,-21.115,-18.07,-17.397,-19.033,-18.662,-17.628,-16.806,-20.527,-22.766,-23.248,-13.179,-9.7332,-8.6008,-8.0761,-7.5091,-7.4027
224,-21.954,-23.232,-19.57,-18.795,-17.811,-21.353,-23.852,-23.066,-14.584,-9.6766,-9.1828,-8.3547,-8.1406,-7.5053,-17.306,-18.185,-18.489,-18.423,-17.759,-18.593,-22.326,-19.218,-18.399,-19.984,-19.577,-18.635,-17.842,-21.905,-24.322,-24.876,-13.961,-10.069,-9.0783,-8.3547,-7.7536,-7.7537
223,-23.784,-24.897,-20.857,-19.991,-18.865,-22.706,-25.442,-24.469,-15.409,-10.134,-9.5486,-8.5653,-8.5536,-7.7459,-18.56,-19.451,-19.948,-19.758,-18.877,-19.804,-24.05,-20.561,-19.746,-21.536,-20.944,-19.83,-19.085,-23.576,-26.017,-26.494,-14.551,-10.414,-9.1236,-8.5653,-7.9377,-7.9949
222,-25.507,-27.008,-22.485,-21.357,-20.428,-24.127,-27.061,-26.126,-16.43,-10.439,-9.9687,-9.2224,-8.6494,-8.3468,-19.952,-21.05,-21.556,-21.187,-20.383,-21.13,-25.59,-21.672,-21.304,-23.197,-22.635,-21.462,-20.421,-25.076,-27.518,-28.332,-15.483,-10.814,-9.5037,-9.2224,-8.3042,-8.143
221,-27.786,-28.893,-24.388,-23.41,-22.117,-25.676,-28.698,-27.725,-17.166,-10.924,-10.308,-9.5103,-9.2867,-8.7417,-21.585,-22.95,-23.372,-23.022,-22.282,-22.589,-27.132,-23.077,-23.067,-25.205,-24.369,-23.173,-22.113,-26.55,-29.14,-30.052,-16.356,-11.548,-10.118,-9.5103,-8.7951,-9.066
220,-29.917,-31.48,-26.399,-25.294,-23.93,-27.375,-30.239,-29.253,-18.113,-11.763,-11.37,-10.39,-9.7449,-9.5559,-23.393,-24.591,-24.915,-24.831,-23.76,-24.038,-28.783,-24.597,-25.079,-26.933,-26.415,-24.986,-23.788,-28.183,-31.182,-31.616,-17.405,-11.729,-10.901,-10.39,-9.5513,-9.4698
219,-32.289,-33.675,-28.224,-27.042,-25.602,-29.006,-31.925,-30.876,-19.041,-12.538,-12.149,-10.843,-10.96,-10.377,-25.422,-26.296,-26.807,-26.422,-25.225,-25.368,-30.259,-26.055,-26.941,-29.101,-28.346,-27.052,-25.766,-29.86,-32.527,-33.374,-18.474,-12.967,-11.812,-10.843,-10.153,-10.436
218,-34.655,-36.086,-30.187,-28.93,-27.432,-30.593,-33.422,-32.154,-20.416,-13.547,-13.054,-12.211,-11.892,-11.544,-27.129,-28.071,-28.659,-28.718,-27.483,-27.076,-31.468,-27.447,-28.817,-30.978,-30.462,-29.042,-27.508,-31.111,-34.216,-34.542,-19.639,-13.887,-12.545,-12.211,-11.155,-11.799
217,-36.793,-38.149,-32.077,-30.852,-29.336,-31.879,-34.752,-33.621,-21.749,-15.011,-14.293,-13.636,-13.273,-12.804,-28.722,-29.711,-30.217,-30.265,-29.239,-28.161,-32.719,-29.006,-30.146,-32.596,-32.281,-31.146,-29.216,-32.725,-35.126,-36.505,-20.674,-15.393,-13.828,-13.636,-12.597,-12.743
216,-38.533,-40.331,-33.445,-32.277,-30.747,-33.206,-35.968,-34.74,-23.185,-16.187,-15.959,-15.27,-14.774,-14.323,-29.949,-31.037,-31.814,-31.48,-30.335,-29.169,-34.14,-31.166,-31.693,-33.949,-33.598,-32.335,-30.856,-33.572,-36.12,-37.554,-22.103,-16.6,-15.542,-15.27,-13.938,-14.445
215,-39.283,-41.421,-34.09,-33.155,-32.015,-34.098,-36.78,-35.764,-24.274,-18.42,-17.482,-17.073,-16.473,-16.154,-30.733,-32.127,-32.684,-32.623,-31.659,-30.958,-35.109,-32.757,-32.692,-35.442,-34.934,-33.532,-31.442,-34.761,-37.623,-38.761,-23.986,-18.619,-17.091,-17.073,-15.985,-16.329
214,-40.612,-42.631,-35.022,-33.85,-32.832,-34.843,-36.825,-36.447,-25.63,-19.846,-20.31,-19.491,-18.467,-18.373,-31.572,-32.738,-33.738,-33.463,-32.571,-31.506,-35.163,-34.564,-33.548,-35.258,-35.116,-35.254,-33.14,-35.323,-37.743,-39.058,-24.987,-19.823,-19.22,-19.491,-18.489,-18.878
213,-41.621,-43.127,-36.551,-35.298,-33.456,-35.311,-37.309,-37.317,-27.8,-21.682,-21.205,-21.346,-20.878,-21.988,-32.294,-33.882,-34.282,-34.459,-33.831,-31.885,-35.605,-38.337,-34.22,-36.329,-36.713,-36.954,-33.706,-36.497,-37.92,-40.537,-26.08,-22.664,-21.273,-21.346,-19.822,-20.496
212,-42.715,-44.464,-36.632,-35.8,-35.341,-35.452,-37.744,-37.35,-29.775,-24.004,-25.397,-23.66,-22.456,-23.032,-33.463,-34.253,-34.988,-35.35,-34.645,-32.598,-36.324,-43.965,-35.504,-37.342,-37.738,-39.633,-34.177,-36.597,-38.12,-39.385,-28.362,-26.038,-22.729,-23.66,-23.175,-22.43
